order_id,customer_id,order_timestamp,delivery_slot,delivery_duration_min,basket_value_eur,zip_code,city
1,354,2024-03-16 10:00:00,18:00-18:00,19.25702651444447,35.839453925246254,1016,Utrecht
2,267,2024-01-20 14:00:00,16:00-12:00,24.99397618889678,70.13310319682323,1011,Utrecht
3,310,2024-03-27 17:00:00,16:00-10:00,33.18363066952917,25.935809721001466,1016,Utrecht
4,173,2024-02-04 13:00:00,8:00-10:00,40.78302282111279,56.98542737819454,1016,Amsterdam
5,47,2024-03-20 13:00:00,14:00-18:00,26.35930047911909,42.863797780628154,1012,Rotterdam
6,140,2024-03-19 19:00:00,10:00-10:00,32.593375395624655,34.37801113330097,1011,Amsterdam
7,246,2024-01-29 19:00:00,16:00-12:00,22.833927683369417,20.080818769019757,1013,Utrecht
8,149,2024-02-27 22:00:00,8:00-10:00,44.82032916239811,41.08996284124782,1014,Amsterdam
9,246,2024-02-08 19:00:00,8:00-16:00,52.173311139555516,40.14277379728942,1013,Utrecht
10,395,2024-02-05 00:00:00,16:00-10:00,51.09282524488321,47.59359334431687,1012,Amsterdam
11,487,2024-03-21 18:00:00,18:00-12:00,44.64979550486138,55.87222464466109,1016,Amsterdam
12,476,2024-03-06 13:00:00,14:00-12:00,43.62509957120262,32.87300740341982,1015,Amsterdam
13,5,2024-01-07 03:00:00,18:00-12:00,15.0,71.37401521755899,1015,Utrecht
14,465,2024-02-13 00:00:00,18:00-18:00,36.77173232220105,36.921979315415726,1012,Utrecht
15,184,2024-02-24 15:00:00,8:00-20:00,30.039073763400918,54.032909685411,1016,Amsterdam
16,20,2024-01-17 03:00:00,10:00-12:00,43.80466361044901,46.35251074894925,1014,Rotterdam
17,425,2024-03-19 01:00:00,8:00-12:00,15.0,42.019354295166266,1011,Rotterdam
18,46,2024-02-08 03:00:00,8:00-18:00,36.929677027701786,45.60085773397548,1011,Amsterdam
19,12,2024-03-19 06:00:00,10:00-18:00,32.85556216167598,30.895687227440938,1013,Rotterdam
20,70,2024-01-12 13:00:00,10:00-20:00,46.184299329314044,39.18650801141353,1016,Utrecht
21,17,2024-03-23 09:00:00,18:00-10:00,50.479870536747384,24.90367120055776,1016,Amsterdam
22,371,2024-03-18 11:00:00,12:00-10:00,25.711539829872315,36.76094495819595,1015,Amsterdam
23,147,2024-03-17 01:00:00,10:00-16:00,26.16289564103185,37.99999609473092,1014,Amsterdam
24,154,2024-03-17 09:00:00,16:00-18:00,37.30496621211714,57.67832044157015,1015,Rotterdam
25,304,2024-01-26 17:00:00,10:00-18:00,52.33762691521542,40.02112209979416,1011,Amsterdam
26,108,2024-03-08 22:00:00,18:00-16:00,35.60144677283016,38.27877564393941,1013,Utrecht
27,236,2024-01-25 03:00:00,18:00-18:00,22.208385846456693,48.30060249981059,1016,Amsterdam
28,308,2024-02-18 18:00:00,12:00-14:00,28.94131553836707,47.71278913983844,1012,Amsterdam
29,352,2024-01-21 09:00:00,12:00-18:00,37.026641644634616,36.134389930275674,1014,Rotterdam
30,70,2024-02-19 06:00:00,10:00-10:00,37.40202428563956,50.91342588778197,1016,Utrecht
31,183,2024-01-16 23:00:00,14:00-18:00,27.959123644076268,42.32029203482918,1013,Utrecht
32,250,2024-01-07 18:00:00,14:00-20:00,28.742093062203782,36.1100504901749,1014,Rotterdam
33,228,2024-03-19 04:00:00,8:00-20:00,25.184320054436014,37.56781753591509,1015,Rotterdam
34,102,2024-02-20 12:00:00,8:00-16:00,46.411711838537954,59.24026034027914,1011,Utrecht
35,75,2024-02-26 18:00:00,14:00-20:00,26.6522482070661,38.01858010110663,1016,Utrecht
36,417,2024-03-08 22:00:00,18:00-14:00,30.352057960817163,48.916880047592144,1011,Amsterdam
37,446,2024-02-20 04:00:00,8:00-12:00,30.067470834760478,25.763996034293047,1015,Utrecht
38,216,2024-01-12 23:00:00,12:00-16:00,18.940427524846086,61.7295749758839,1013,Rotterdam
39,407,2024-03-18 09:00:00,14:00-20:00,26.365846951821844,36.255085887622634,1011,Rotterdam
40,399,2024-01-08 18:00:00,12:00-20:00,47.28137599286538,51.00434245115831,1011,Rotterdam
41,411,2024-03-20 11:00:00,18:00-20:00,22.90712158209272,41.226478079953544,1013,Amsterdam
42,203,2024-02-18 09:00:00,14:00-10:00,25.363576981736323,50.832512366886874,1011,Amsterdam
43,192,2024-01-06 09:00:00,14:00-14:00,21.67454226220741,51.651603305470395,1011,Amsterdam
44,249,2024-03-19 15:00:00,16:00-10:00,34.09388439768739,42.83005109684843,1013,Amsterdam
45,499,2024-01-06 23:00:00,8:00-14:00,53.85476721266291,17.010531775585957,1015,Rotterdam
46,242,2024-01-01 15:00:00,18:00-10:00,33.67305778472928,61.36522664112361,1013,Utrecht
47,465,2024-01-11 04:00:00,8:00-12:00,35.6676212535439,42.90146006548747,1012,Utrecht
48,179,2024-02-08 14:00:00,16:00-20:00,27.045527641330114,50.52009010761099,1016,Utrecht
49,437,2024-02-07 18:00:00,14:00-20:00,34.38381955207728,55.37578034862403,1014,Rotterdam
50,462,2024-02-06 22:00:00,18:00-14:00,47.29050306347616,38.142387792854564,1014,Utrecht
51,219,2024-01-15 04:00:00,12:00-10:00,36.429093876381735,52.757031849066934,1012,Utrecht
52,82,2024-03-26 11:00:00,18:00-14:00,56.31770082062164,33.78596858813639,1016,Utrecht
53,92,2024-02-29 17:00:00,8:00-18:00,47.59479712305691,50.81314284717822,1015,Amsterdam
54,435,2024-01-13 17:00:00,8:00-18:00,34.13683654555067,45.29554145216807,1014,Rotterdam
55,175,2024-02-07 19:00:00,16:00-10:00,33.94212124407885,38.66257284749315,1013,Rotterdam
56,239,2024-02-27 03:00:00,10:00-18:00,51.30923137623631,45.704882554694976,1012,Amsterdam
57,260,2024-01-14 08:00:00,10:00-16:00,36.37325575855229,29.17209789905772,1011,Amsterdam
58,391,2024-01-24 06:00:00,8:00-12:00,49.08921560271723,49.63559891510846,1011,Rotterdam
59,365,2024-02-20 04:00:00,16:00-12:00,55.02907340126667,51.19233118534228,1016,Amsterdam
60,163,2024-02-28 17:00:00,16:00-14:00,32.95780632175891,50.18460209856171,1015,Amsterdam
61,48,2024-03-09 09:00:00,12:00-12:00,38.51955365935016,67.53256241311473,1014,Amsterdam
