order_id,product_id,quantity,unit_price
1779,27,3,3.6675896637636796
2365,72,1,1.3817583122014483
190,63,2,4.156353364966888
1913,52,1,3.1765367518534453
296,47,4,1.7452832199623052
2549,21,1,2.985492213246638
177,57,3,3.956681610829922
800,75,3,2.586891909904215
806,95,3,3.454327532998539
2908,91,1,3.0668668906346332
1743,42,1,1.5058978578927638
215,48,1,4.12383538753535
1880,27,3,4.307735772540027
2701,72,3,4.648731414983704
597,33,3,3.509012362088
1718,76,1,3.9846031286352233
1356,35,1,1.8859613200689083
128,98,4,3.7401261237493464
1293,16,2,3.1820505492034923
2599,36,3,3.4230452307097874
1559,66,1,2.382659999657478
1778,76,2,4.622663952969335
619,91,1,1.849025031040552
2396,56,1,3.7720116500679923
142,17,3,2.582491804238989
2840,20,2,5.618599530077747
245,85,1,4.195365821993642
2751,94,2,3.4715018551912746
1314,84,2,2.472080548349649
1715,8,3,4.390029277504672
1136,18,2,0.5
2262,18,4,3.884170108224297
1910,18,4,4.010379546882272
2248,2,3,3.95173692989019
2453,76,3,4.337846755516738
421,96,4,2.9350275356290854
7,72,3,4.049313840617335
1549,51,2,2.830007449724345
2640,10,1,2.669617117331157
2334,75,3,2.4676537361286366
671,14,4,3.248020332135637
2437,26,1,4.611224014401108
416,47,2,5.215076127453701
2832,30,1,3.2295801229425734
1007,56,4,2.855032088235094
1737,42,1,4.829431705094383
428,4,4,3.9334274626469132
334,11,3,3.5290601161359265
2320,24,3,2.3942180962154636
2367,86,4,4.9317016657169175
527,67,3,3.593684828673528
2808,37,2,3.5001597970410363
1196,2,1,4.041675254150521
1754,12,4,3.521898253478079
1673,21,4,4.974636645113714
2369,69,4,4.511800982401387
2787,71,2,2.9386694492010808
1556,64,2,3.586900932239825
2029,68,2,2.9145803391628022
1655,43,4,5.389364116942618
454,54,2,2.7771212712508175
746,100,3,3.3809717281696945
1904,62,1,3.863926644088127
929,86,3,4.005719448106204
848,93,3,4.174579136355365
868,73,2,4.300966554326689
774,90,4,4.192860056079031
2131,12,3,3.0670263053210154
543,1,1,2.9536408816535182
322,72,2,3.538229872863409
786,33,3,2.948301327555539
540,64,2,2.8422818605815814
2300,68,1,3.0780612754910495
2884,14,2,5.602134694264505
1789,93,4,5.043822795384507
449,14,3,3.2608200127325375
490,9,3,1.4334865804504004
1906,73,4,2.9097086615869925
464,26,1,4.38002099782537
314,49,1,1.9344639028526156
1956,17,2,4.103842967375131
385,68,3,4.03971357914067
295,60,1,3.5173247093530766
1239,3,4,3.4623962427127966
762,93,4,2.5954233669226405
2817,25,4,4.196823923096126
1099,21,1,3.8099133337464575
2392,12,4,3.0193719069394422
1738,54,3,2.7149870714153095
2190,1,1,2.306575371858526
2766,1,1,3.8715209653497933
1223,45,3,3.2977562829169877
1943,46,4,3.310503674599322
2454,48,1,1.9388188214771054
228,7,3,2.4048250818645416
411,10,3,2.2960596527588444
3000,15,2,4.268750475251575
2946,40,4,3.67169993074183
691,11,4,3.2170159270090624
878,56,3,4.605560905489027
787,46,1,4.46412603624642
2110,45,2,4.605435677892582
1351,87,2,3.2579559700061322
1740,13,1,2.0856311891126023
1987,27,2,5.206499079163937
879,81,1,4.024208789505994
1608,50,2,4.044933223077604
1614,61,1,4.175869082794723
2404,13,3,6.263498545940325
71,12,3,3.399559472226901
2311,29,2,4.936482824296028
306,85,2,2.647385502060886
2606,84,3,4.3152322426864975
762,20,4,5.283441902509156
588,31,1,3.4530378528941648
2122,8,4,1.5810737309071488
2190,24,2,4.067012628564406
1609,75,3,3.2830918768969646
102,39,2,4.344258741658141
1630,33,4,3.0335889722159126
1605,42,3,5.887581628942498
193,15,3,3.606431831547346
1086,68,3,4.291078176448073
2458,65,1,2.5003095282029433
300,32,2,2.3249314487620376
454,11,4,2.203124092351791
2622,94,1,2.2098504173717726
619,37,4,4.178463799665691
637,19,1,2.8969876769230285
2349,51,3,2.2299710881405472
779,100,1,2.8033088769633405
1480,34,2,4.203639041911206
2250,71,2,4.178687022446375
2722,60,4,4.496901851552317
2350,84,3,3.218472122219426
2045,53,3,5.49712118000719
1648,12,4,4.582013369436919
337,62,2,2.325842785217823
2080,96,2,4.31213913722768
1995,66,4,3.5191084724337696
2008,86,3,3.3349256601293065
1783,48,4,3.509842972361976
2821,40,4,2.8340423587311983
1072,24,1,4.508996678425337
2032,50,4,2.9217669821364978
1274,95,2,2.9398358902656225
1250,68,4,4.260193555299701
1296,88,3,5.670476327601657
2713,43,3,3.0030752598280985
328,17,2,2.253474919783402
797,83,3,4.639844517904303
1204,55,4,3.6950423346790933
2862,34,2,4.002350223910565
665,97,3,3.534328107976449
2794,70,4,4.093594746657225
2978,60,3,3.8638871311357157
963,51,1,2.976538957495532
1630,100,3,4.203877646906725
1394,77,2,4.000100580779825
1269,73,4,3.1288003727371234
1184,35,4,3.3269813780025923
373,34,2,2.7141150654167494
285,16,1,3.961888267839423
2569,82,4,3.972827154929401
2745,18,2,3.461255487083295
807,38,3,2.3612727999982255
647,43,1,1.4774718856567879
1605,32,2,3.2686075075408136
2184,7,3,3.7366152711830787
96,87,4,4.14467717644506
274,87,4,4.632806783586798
2926,46,1,3.142890399805491
2898,61,3,1.9179169630599946
1201,18,2,2.9863233756505707
1773,71,4,5.6832662988658535
784,40,2,5.144233256987851
1301,88,2,3.928089709247641
132,78,2,3.0683917922799737
1391,50,1,3.4087208858436115
2421,5,2,5.214699376148583
1150,54,1,3.7099909652569987
1811,86,1,3.1194946837506468
2031,58,3,4.826249698507617
808,22,4,1.5523248688918487
744,74,2,2.4954386719850645
51,90,3,2.6950483807007104
1182,79,3,4.5016260093767615
56,38,3,2.9392191805179895
744,49,3,1.7269719233611645
2476,1,3,2.807817102003484
443,78,2,3.0290444322917547
1935,36,3,3.432505640630108
2374,95,4,3.628232841747331
2688,28,1,4.467673655706757
1662,98,1,3.187967137252643
2877,35,4,2.91724365183565
80,60,2,3.5466966309993637
2522,62,1,3.742648922881898
377,87,4,2.8986701225822484
2967,46,4,1.7969845888678504
2381,83,3,3.010100996610838
441,82,1,4.307435790029284
126,79,3,3.421185083230106
1718,61,2,4.74385100961046
219,65,1,4.00255474295841
948,89,1,2.972079060177747
278,26,4,4.969038715629962
595,35,1,2.6309454682722713
935,57,2,1.8248419433476908
2019,79,2,3.8440779983907016
141,63,1,2.7161251787364793
2894,4,4,3.4433232212422102
1631,79,2,2.4280240746701085
877,42,3,3.5045407049113178
1730,45,2,3.9847954820956453
110,39,1,4.132578666044001
1076,65,3,2.3617227488372956
2661,22,1,2.1458786332270208
2761,11,1,3.8974824421531435
1994,37,1,3.1204268032475495
1223,90,4,2.9432373234211253
796,51,4,3.3824013911250117
2030,91,2,3.3295934512401444
729,58,1,3.873952768578855
2553,77,3,3.987511602162832
1538,7,3,4.483892397675027
1041,8,3,3.241771881856011
315,51,4,4.495771976097919
77,23,4,4.0875174060732125
2947,90,1,4.3730241541760835
1641,91,3,2.39323070387425
712,9,3,3.396940837200811
1538,46,4,5.395238317929429
1868,38,4,2.1288095574150736
854,13,3,5.29153713167835
1162,7,3,5.247283323051046
